event_id,visible,timestamp,location_long,location_lat,algorithm_marked_outlier,argos_altitude,argos_best_level,argos_calcul_freq,argos_error_radius,argos_gdop,argos_iq,argos_lat1,argos_lat2,argos_lc,argos_lon1,argos_lon2,argos_nb_mes,argos_nb_mes_120,argos_nopc,argos_orientation,argos_pass_duration,argos_semi_major,argos_semi_minor,argos_sensor_1,argos_sensor_2,argos_sensor_3,argos_sensor_4,argos_valid_location_algorithm,behavioural_classification,sensor_type,individual_taxon_canonical_name,tag_local_identifier,individual_local_identifier,study_name,utm_easting,utm_northing,utm_zone,study_timezone,study_local_timestamp
1279490736,TRUE,2015-05-18T14:59:16Z,-28.91134,38.51017,,0,-129,401677489,274,697,0,38.51017,42.39058,A,-28.91134,-11.88737,3,0,3,34,678,728,102,2,123,221,69,,,argos-doppler-shift,Balaenoptera musculus,60782,60782,Azores Great Whales Satellite Telemetry Program ,333351.6384,4264153.011,26N,Azores Summer Time,2015-05-18T14:59:16Z
1279490737,TRUE,2015-05-18T17:39:29Z,-28.918,38.4868,,0,-127,401677471.6,2925,1070,8,38.4868,38.4868,B,-28.918,-28.918,2,0,3,75,48,4052,2111,2,115,220,70,,,argos-doppler-shift,Balaenoptera musculus,60782,60782,Azores Great Whales Satellite Telemetry Program ,332716.8443,4261571.598,26N,Azores Summer Time,2015-05-18T17:39:29Z
1279490738,TRUE,2015-05-18T18:10:30Z,-28.92025,38.48374,,0,-127,401677501.3,2555,1144,6,38.48374,38.48374,B,-28.92025,-28.92025,1,0,3,76,0,3544,1841,2,114,220,68,,,argos-doppler-shift,Balaenoptera musculus,60782,60782,Azores Great Whales Satellite Telemetry Program ,332513.503,4261236.105,26N,Azores Summer Time,2015-05-18T18:10:30Z
1279490739,TRUE,2015-05-18T19:57:03Z,-28.96239,38.41331,,0,-129,401677469.1,4395,1130,8,38.41331,38.41331,B,-28.96239,-28.96239,2,0,3,102,146,8486,2276,2,117,218,77,,,argos-doppler-shift,Balaenoptera musculus,60782,60782,Azores Great Whales Satellite Telemetry Program ,328671.1539,4253497.636,26N,Azores Summer Time,2015-05-18T19:57:03Z
1279490740,TRUE,2015-05-18T20:19:06Z,-28.96494,38.38507,,0,-124,401677487.3,4028,991,0,38.38507,38.38507,B,-28.96494,-28.96494,2,0,3,97,101,24043,675,2,119,219,67,,,argos-doppler-shift,Balaenoptera musculus,60782,60782,Azores Great Whales Satellite Telemetry Program ,328381.7187,4250368.454,26N,Azores Summer Time,2015-05-18T20:19:06Z
1279490741,TRUE,2015-05-18T21:16:20Z,-28.9764,38.3691,,0,-124,401677531,3355,1166,6,38.3691,38.3691,B,-28.9764,-28.9764,1,0,2,96,0,9667,1164,2,113,219,69,,,argos-doppler-shift,Balaenoptera musculus,60782,60782,Azores Great Whales Satellite Telemetry Program ,327342.7393,4248617.578,26N,Azores Summer Time,2015-05-18T21:16:20Z
1279490742,TRUE,2015-05-18T22:50:14Z,-29.03741,38.39546,,0,-115,401677489.9,7631,1114,48,38.39546,38.39546,0,-29.03741,-29.03741,4,1,3,80,693,86494,673,2,118,218,71,,,argos-doppler-shift,Balaenoptera musculus,60782,60782,Azores Great Whales Satellite Telemetry Program ,322077.0411,4251658.834,26N,Azores Summer Time,2015-05-18T22:50:14Z
1279490743,TRUE,2015-05-19T00:33:37Z,-29.07846,38.38132,,0,-135,401677499.8,6651,1363,8,38.38132,38.38132,B,-29.07846,-29.07846,1,0,2,81,0,18238,2425,3,120,217,69,,,argos-doppler-shift,Balaenoptera musculus,60782,60782,Azores Great Whales Satellite Telemetry Program ,318456.502,4250169.642,26N,Azores Summer Time,2015-05-19T00:33:37Z
1279490744,TRUE,2015-05-19T03:20:07Z,-29.13443,38.36377,,0,-124,401677475.6,16531,4152,8,38.36377,38.36377,B,-29.13443,-29.13443,1,0,3,72,0,88255,3096,3,115,216,70,,,argos-doppler-shift,Balaenoptera musculus,60782,60782,Azores Great Whales Satellite Telemetry Program ,313522.2139,4248333.652,26N,Azores Summer Time,2015-05-19T03:20:07Z
1279490745,TRUE,2015-05-19T05:05:32Z,-29.51556,38.28287,,0,-125,401677489.9,1632,2419,58,38.28287,40.71254,B,-29.51556,-41.74617,2,0,2,83,48,29509,90,3,116,216,66,,,argos-doppler-shift,Balaenoptera musculus,60782,60782,Azores Great Whales Satellite Telemetry Program ,279975.0163,4240194.321,26N,Azores Summer Time,2015-05-19T05:05:32Z
1279490746,TRUE,2015-05-19T05:58:14Z,-29.51776,38.28274,,0,-127,401677502.5,1658,2455,7,38.28274,38.28274,B,-29.51776,-29.51776,1,0,3,83,0,11739,234,3,116,216,66,,,argos-doppler-shift,Balaenoptera musculus,60782,60782,Azores Great Whales Satellite Telemetry Program ,279782.1699,4240185.134,26N,Azores Summer Time,2015-05-19T05:58:14Z
1279490747,TRUE,2015-05-19T06:27:15Z,-29.51827,38.28298,,0,-127,401677492,1677,2487,0,38.28298,38.28298,B,-29.51827,-29.51827,1,0,3,83,0,9982,281,3,117,216,66,,,argos-doppler-shift,Balaenoptera musculus,60782,60782,Azores Great Whales Satellite Telemetry Program ,279738.2814,4240212.985,26N,Azores Summer Time,2015-05-19T06:27:15Z
1279490748,TRUE,2015-05-19T07:38:25Z,-29.56099,38.30749,,0,-129,401677494.6,4534,2390,8,38.30749,38.30749,B,-29.56099,-29.56099,2,0,3,80,48,53563,383,3,125,216,67,,,argos-doppler-shift,Balaenoptera musculus,60782,60782,Azores Great Whales Satellite Telemetry Program ,276076.577,4243035.887,26N,Azores Summer Time,2015-05-19T07:38:25Z
1279490749,TRUE,2015-05-19T07:50:03Z,-29.52136,38.28278,,0,-127,401677490.6,1227,2566,8,38.28278,38.28278,B,-29.52136,-29.52136,1,0,3,83,0,5321,282,3,123,216,67,,,argos-doppler-shift,Balaenoptera musculus,60782,60782,Azores Great Whales Satellite Telemetry Program ,279467.3666,4240198.158,26N,Azores Summer Time,2015-05-19T07:50:03Z
1279490750,TRUE,2015-05-19T08:11:05Z,-29.58463,38.29875,,0,-129,401677488.9,4584,2294,0,38.29875,38.29875,B,-29.58463,-29.58463,2,0,3,82,105,34085,616,3,124,215,67,,,argos-doppler-shift,Balaenoptera musculus,60782,60782,Azores Great Whales Satellite Telemetry Program ,273982.1173,4242123.468,26N,Azores Summer Time,2015-05-19T08:11:05Z
1279490751,TRUE,2015-05-19T09:24:15Z,-29.61394,38.30418,,0,-135,401677537.3,4881,2330,6,38.30418,38.30418,B,-29.61394,-29.61394,1,0,3,82,0,22367,1065,3,123,215,68,,,argos-doppler-shift,Balaenoptera musculus,60782,60782,Azores Great Whales Satellite Telemetry Program ,271435.6878,4242798.241,26N,Azores Summer Time,2015-05-19T09:24:15Z
1279490752,TRUE,2015-05-19T09:48:15Z,-29.5545,38.28038,,0,-135,401677520.3,3461,2578,0,38.28038,38.28038,B,-29.5545,-29.5545,1,0,3,82,0,11301,1059,3,122,215,68,,,argos-doppler-shift,Balaenoptera musculus,60782,60782,Azores Great Whales Satellite Telemetry Program ,276560.9423,4240011.409,26N,Azores Summer Time,2015-05-19T09:48:15Z
1279490753,TRUE,2015-05-19T11:14:23Z,-29.83389,38.23754,,0,-115,401677577.1,299,783,60,38.23754,34.08176,B,-29.83389,-9.16822,2,2,2,103,59,2882,30,3,120,214,69,,,argos-doppler-shift,Balaenoptera musculus,60782,60782,Azores Great Whales Satellite Telemetry Program ,251972.848,4235969.205,26N,Azores Summer Time,2015-05-19T11:14:23Z
1279490754,TRUE,2015-05-19T12:50:18Z,-29.74025,38.32721,,0,-132,401677549.3,1109,1842,8,38.32721,38.32721,B,-29.74025,-29.74025,1,0,3,64,0,3161,389,3,121,214,70,,,argos-doppler-shift,Balaenoptera musculus,60782,60782,Azores Great Whales Satellite Telemetry Program ,260465.0019,4245674.444,26N,Azores Summer Time,2015-05-19T12:50:18Z
1279490755,TRUE,2015-05-19T14:48:29Z,-29.88458,38.28869,,0,-128,401677476.1,6306,1193,8,38.28869,38.28869,A,-29.88458,-29.88458,3,0,3,173,615,22181,1792,3,121,213,68,,,argos-doppler-shift,Balaenoptera musculus,60782,60782,Azores Great Whales Satellite Telemetry Program ,247712.6423,4241783.517,26N,Azores Summer Time,2015-05-19T14:48:29Z
1279490756,TRUE,2015-05-19T16:32:02Z,-29.95868,38.28563,,0,-126,401677460.9,7764,1469,8,38.28563,38.28563,B,-29.95868,-29.95868,1,0,3,174,0,12725,4736,3,122,213,68,,,argos-doppler-shift,Balaenoptera musculus,60782,60782,Azores Great Whales Satellite Telemetry Program ,241219.597,4241648.87,26N,Azores Summer Time,2015-05-19T16:32:02Z
1279490757,TRUE,2015-05-19T17:37:47Z,-30.02293,38.28353,,0,-133,401677477.3,18446,4937,7,38.28353,38.28353,B,-30.02293,-30.02293,1,0,3,89,0,80092,4248,3,123,213,67,,,argos-doppler-shift,Balaenoptera musculus,60782,60782,Azores Great Whales Satellite Telemetry Program ,760396.7293,4241467.466,25N,Azores Summer Time,2015-05-19T17:37:47Z
1279490758,TRUE,2015-05-19T17:49:17Z,-29.63961,38.25774,,0,-128,401677548.4,6185,3439,0,38.25774,38.25774,B,-29.63961,-29.63961,2,0,3,75,55,30402,1258,3,123,213,66,,,argos-doppler-shift,Balaenoptera musculus,60782,60782,Azores Great Whales Satellite Telemetry Program ,269043.5099,4237707.937,26N,Azores Summer Time,2015-05-19T17:49:17Z
1279490759,TRUE,2015-05-19T19:12:22Z,-30.03529,38.21793,,0,-133,401677476.1,3923,789,48,38.21793,33.99928,A,-30.03529,-51.08561,3,0,2,176,658,5200,2959,3,121,212,67,,,argos-doppler-shift,Balaenoptera musculus,60782,60782,Azores Great Whales Satellite Telemetry Program ,759548.8631,4234151.634,25N,Azores Summer Time,2015-05-19T19:12:22Z
1279490760,TRUE,2015-05-19T19:28:22Z,-30.03659,38.14986,,0,-128,401677468.5,5773,684,0,38.14986,38.14986,B,-30.03659,-30.03659,2,0,3,100,44,6699,4975,3,122,212,67,,,argos-doppler-shift,Balaenoptera musculus,60782,60782,Azores Great Whales Satellite Telemetry Program ,759676.8104,4226592.841,25N,Azores Summer Time,2015-05-19T19:28:22Z
1279490761,TRUE,2015-05-19T19:46:44Z,-29.9247,38.05721,,0,-130,401677510.3,1912,542,68,38.05721,34.12903,B,-29.9247,-10.4224,2,0,2,89,189,10987,332,3,124,212,67,,,argos-doppler-shift,Balaenoptera musculus,60782,60782,Azores Great Whales Satellite Telemetry Program ,243391.7698,4216201.944,26N,Azores Summer Time,2015-05-19T19:46:44Z
1279490762,TRUE,2015-05-19T21:06:25Z,-29.92472,38.05714,,0,-137,401677457.2,2525,878,8,38.05714,34.13031,B,-29.92472,-10.42222,1,0,3,89,0,4606,1383,130,204,93,122,,,argos-doppler-shift,Balaenoptera musculus,60782,60782,Azores Great Whales Satellite Telemetry Program ,243389.77,4216194.23,26N,Azores Summer Time,2015-05-19T21:06:25Z
1279490763,TRUE,2015-05-19T21:29:45Z,-29.92683,38.05361,,0,-135,401677558.4,2790,947,0,38.05361,34.11505,B,-29.92683,-10.42681,1,0,3,90,0,4878,1596,3,120,212,66,,,argos-doppler-shift,Balaenoptera musculus,60782,60782,Azores Great Whales Satellite Telemetry Program ,243192.2553,4215808.275,26N,Azores Summer Time,2015-05-19T21:29:45Z
